query_id,text,gold_sql,pred_sql,complexity,EM,EX,valid,latency_ms,model_succeeded
0,Tìm áo thun,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 10;,simple,1,1,True,1499.4385242462158,True
1,Hiển thị giày,SELECT * FROM products WHERE name LIKE '%giày%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày%' LIMIT 10;,simple,1,1,True,1440.4137134552002,True
2,Xem túi xách,SELECT * FROM products WHERE name LIKE '%túi xách%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi xách%' LIMIT 10;,simple,1,1,True,1275.773525238037,True
3,Liệt kê balo,SELECT name FROM products WHERE name LIKE '%balo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%balo%' LIMIT 10;,simple,0,0,True,1395.2515125274658,True
4,Tìm kiếm vali,SELECT * FROM products WHERE name LIKE '%vali%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%vali%' LIMIT 10;,simple,1,1,True,1216.503381729126,True
5,Tìm ví,SELECT * FROM products WHERE name LIKE '%ví%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ví%' LIMIT 10;,simple,1,1,True,1039.4001007080078,True
6,Hiển thị dép,SELECT * FROM products WHERE name LIKE '%dép%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%dép%' LIMIT 10;,simple,1,1,True,1097.6378917694092,True
7,Xem nón,SELECT * FROM products WHERE name LIKE '%nón%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%nón%' LIMIT 10;,simple,1,1,True,1107.4793338775635,True
8,Liệt kê thắt lưng,SELECT name FROM products WHERE name LIKE '%thắt lưng%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%thắt lưng%' LIMIT 10;,simple,0,0,True,1575.0439167022705,True
9,Tìm kiếm kính,SELECT * FROM products WHERE name LIKE '%kính%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kính%' LIMIT 10;,simple,1,1,True,1165.4863357543945,True
10,Tìm đồng hồ,SELECT * FROM products WHERE name LIKE '%đồng hồ%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%đồng hồ%' LIMIT 10;,simple,1,1,True,1579.6260833740234,True
11,Hiển thị vớ,SELECT * FROM products WHERE name LIKE '%vớ%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%vớ%' LIMIT 10;,simple,1,1,True,1387.30788230896,True
12,Xem khăn,SELECT * FROM products WHERE name LIKE '%khăn%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%khăn%' LIMIT 10;,simple,1,1,True,1148.6866474151611,True
13,Liệt kê găng tay,SELECT name FROM products WHERE name LIKE '%găng tay%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%găng tay%' LIMIT 10;,simple,0,0,True,1579.4878005981445,True
14,Tìm kiếm áo khoác,SELECT * FROM products WHERE name LIKE '%áo khoác%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ao khoac%' LIMIT 10;,simple,0,0,True,1231.0457229614258,True
15,Tìm quần,SELECT * FROM products WHERE name LIKE '%quần%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần%' LIMIT 10;,simple,1,1,True,1157.1152210235596,True
16,Hiển thị váy,SELECT * FROM products WHERE name LIKE '%váy%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%váy%' LIMIT 10;,simple,1,1,True,1100.0287532806396,True
17,Xem áo sơ mi,SELECT * FROM products WHERE name LIKE '%áo sơ mi%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ao sơ mi%' LIMIT 10;,simple,0,0,True,1220.7775115966797,True
18,Liệt kê giày thể thao,SELECT name FROM products WHERE name LIKE '%giày thể thao%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày thể thao%' LIMIT 10;,simple,0,0,True,1565.4571056365967,True
19,Tìm kiếm giày cao gót,SELECT * FROM products WHERE name LIKE '%giày cao gót%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày%cao%gót%' LIMIT 10;,simple,0,0,True,1749.2432594299316,True
20,Tìm boot,SELECT * FROM products WHERE name LIKE '%boot%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%boot%' LIMIT 10;,simple,1,1,True,1049.1371154785156,True
21,Hiển thị túi đeo chéo,SELECT * FROM products WHERE name LIKE '%túi đeo chéo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi đeo chéo%' LIMIT 10;,simple,1,1,True,1819.5674419403076,True
22,Xem cặp sách,SELECT * FROM products WHERE name LIKE '%cặp sách%' LIMIT 10;,"SELECT name, c.name AS category, b.name AS brand FROM products JOIN categories c ON category_id = c.id JOIN brands b ON brand_id = b.id;",simple,0,0,True,3171.797752380371,True
23,Liệt kê túi laptop,SELECT name FROM products WHERE name LIKE '%túi laptop%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi laptop%' LIMIT 10;,simple,0,0,True,1639.132022857666,True
24,Tìm kiếm phụ kiện,SELECT * FROM products WHERE name LIKE '%phụ kiện%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%phụ kiện%' LIMIT 10;,simple,1,1,True,1323.7512111663818,True
25,Tìm trang sức,SELECT * FROM products WHERE name LIKE '%trang sức%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%trang sức%' LIMIT 10;,simple,1,1,True,1283.224105834961,True
26,Hiển thị mũ lưỡi trai,SELECT * FROM products WHERE name LIKE '%mũ lưỡi trai%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%mũ lưỡi trai%' LIMIT 10;,simple,1,1,True,1575.8144855499268,True
27,Xem mũ beret,SELECT * FROM products WHERE name LIKE '%mũ beret%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%mũ beret%' LIMIT 10;,simple,1,1,True,1289.6573543548584,True
28,Liệt kê áo len,SELECT name FROM products WHERE name LIKE '%áo len%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo len%' LIMIT 10;,simple,0,1,True,1461.6165161132812,True
29,Tìm kiếm hoodie,SELECT * FROM products WHERE name LIKE '%hoodie%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%hoodie%' LIMIT 10;,simple,1,1,True,1102.846622467041,True
30,Tìm quần jean,SELECT * FROM products WHERE name LIKE '%quần jean%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần jean%' LIMIT 10;,simple,1,1,True,1341.6259288787842,True
31,Hiển thị quần short,SELECT * FROM products WHERE name LIKE '%quần short%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần short%' LIMIT 10;,simple,1,1,True,1281.8431854248047,True
32,Xem áo polo,SELECT * FROM products WHERE name LIKE '%áo polo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo polo%' LIMIT 10;,simple,1,1,True,1574.3608474731445,True
33,Liệt kê tank top,SELECT name FROM products WHERE name LIKE '%tank top%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%tank top%' LIMIT 10;,simple,0,1,True,1516.1452293395996,True
34,Tìm kiếm đầm,SELECT * FROM products WHERE name LIKE '%đầm%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%đầm%' LIMIT 10;,simple,1,1,True,1164.7002696990967,True
35,Tìm chân váy,SELECT * FROM products WHERE name LIKE '%chân váy%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%chân váy%' LIMIT 10;,simple,1,1,True,1227.7886867523193,True
36,Hiển thị blazer,SELECT * FROM products WHERE name LIKE '%blazer%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%blazer%' LIMIT 10;,simple,1,1,True,1399.4786739349365,True
37,Xem vest,SELECT * FROM products WHERE name LIKE '%vest%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%vest%' LIMIT 10;,simple,1,1,True,1050.447702407837,True
38,Liệt kê đồ lót,SELECT name FROM products WHERE name LIKE '%đồ lót%' LIMIT 10;,SELECT * FROM products JOIN categories c ON category_id = c.id WHERE c.name = 'Đồ lót';,simple,0,0,True,1879.0569305419922,True
