query_id,text,gold_sql,pred_sql,complexity,EM,EX,valid,latency_ms,model_succeeded
0,Tìm áo thun,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo thun%' LIMIT 10;,simple,1,1,True,309.1092109680176,True
1,Hiển thị giày,SELECT * FROM products WHERE name LIKE '%giày%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày%' LIMIT 10;,simple,1,1,True,298.10595512390137,True
2,Xem túi xách,SELECT * FROM products WHERE name LIKE '%túi xách%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi xách%' LIMIT 10;,simple,1,1,True,328.2589912414551,True
3,Liệt kê balo,SELECT name FROM products WHERE name LIKE '%balo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%balo%' LIMIT 10;,simple,0,0,True,317.5992965698242,True
4,Tìm kiếm vali,SELECT * FROM products WHERE name LIKE '%vali%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm vali%' LIMIT 10;,simple,0,0,True,297.98340797424316,True
5,Tìm ví,SELECT * FROM products WHERE name LIKE '%ví%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%ví%' LIMIT 10;,simple,1,1,True,296.22411727905273,True
6,Hiển thị dép,SELECT * FROM products WHERE name LIKE '%dép%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%dép%' LIMIT 10;,simple,1,1,True,337.2328281402588,True
7,Xem nón,SELECT * FROM products WHERE name LIKE '%nón%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%nón%' LIMIT 10;,simple,1,1,True,307.2042465209961,True
8,Liệt kê thắt lưng,SELECT name FROM products WHERE name LIKE '%thắt lưng%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%thắt lưng%' LIMIT 10;,simple,0,0,True,300.0645637512207,True
9,Tìm kiếm kính,SELECT * FROM products WHERE name LIKE '%kính%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm kính%' LIMIT 10;,simple,0,0,True,305.3467273712158,True
10,Tìm đồng hồ,SELECT * FROM products WHERE name LIKE '%đồng hồ%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%đồng hồ%' LIMIT 10;,simple,1,1,True,302.58703231811523,True
11,Hiển thị vớ,SELECT * FROM products WHERE name LIKE '%vớ%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%vớ%' LIMIT 10;,simple,1,1,True,301.10979080200195,True
12,Xem khăn,SELECT * FROM products WHERE name LIKE '%khăn%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%khăn%' LIMIT 10;,simple,1,1,True,339.5404815673828,True
13,Liệt kê găng tay,SELECT name FROM products WHERE name LIKE '%găng tay%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%găng tay%' LIMIT 10;,simple,0,0,True,304.66508865356445,True
14,Tìm kiếm áo khoác,SELECT * FROM products WHERE name LIKE '%áo khoác%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm áo khoác%' LIMIT 10;,simple,0,0,True,299.8843193054199,True
15,Tìm quần,SELECT * FROM products WHERE name LIKE '%quần%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần%' LIMIT 10;,simple,1,1,True,300.62270164489746,True
16,Hiển thị váy,SELECT * FROM products WHERE name LIKE '%váy%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%váy%' LIMIT 10;,simple,1,1,True,300.1384735107422,True
17,Xem áo sơ mi,SELECT * FROM products WHERE name LIKE '%áo sơ mi%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo sơ mi%' LIMIT 10;,simple,1,1,True,326.7502784729004,True
18,Liệt kê giày thể thao,SELECT name FROM products WHERE name LIKE '%giày thể thao%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%giày thể thao%' LIMIT 10;,simple,0,0,True,340.5590057373047,True
19,Tìm kiếm giày cao gót,SELECT * FROM products WHERE name LIKE '%giày cao gót%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm giày cao gót%' LIMIT 10;,simple,0,0,True,301.3761043548584,True
20,Tìm boot,SELECT * FROM products WHERE name LIKE '%boot%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%boot%' LIMIT 10;,simple,1,1,True,302.5519847869873,True
21,Hiển thị túi đeo chéo,SELECT * FROM products WHERE name LIKE '%túi đeo chéo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi đeo chéo%' LIMIT 10;,simple,1,1,True,326.1277675628662,True
22,Xem cặp sách,SELECT * FROM products WHERE name LIKE '%cặp sách%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%cặp sách%' LIMIT 10;,simple,1,1,True,332.7627182006836,True
23,Liệt kê túi laptop,SELECT name FROM products WHERE name LIKE '%túi laptop%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%túi laptop%' LIMIT 10;,simple,0,0,True,297.06525802612305,True
24,Tìm kiếm phụ kiện,SELECT * FROM products WHERE name LIKE '%phụ kiện%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm phụ kiện%' LIMIT 10;,simple,0,0,True,321.2437629699707,True
25,Tìm trang sức,SELECT * FROM products WHERE name LIKE '%trang sức%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%trang sức%' LIMIT 10;,simple,1,1,True,296.76151275634766,True
26,Hiển thị mũ lưỡi trai,SELECT * FROM products WHERE name LIKE '%mũ lưỡi trai%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%mũ lưỡi trai%' LIMIT 10;,simple,1,1,True,321.63310050964355,True
27,Xem mũ beret,SELECT * FROM products WHERE name LIKE '%mũ beret%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%mũ beret%' LIMIT 10;,simple,1,1,True,300.0013828277588,True
28,Liệt kê áo len,SELECT name FROM products WHERE name LIKE '%áo len%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo len%' LIMIT 10;,simple,0,1,True,302.7505874633789,True
29,Tìm kiếm hoodie,SELECT * FROM products WHERE name LIKE '%hoodie%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm hoodie%' LIMIT 10;,simple,0,0,True,315.95468521118164,True
30,Tìm quần jean,SELECT * FROM products WHERE name LIKE '%quần jean%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần jean%' LIMIT 10;,simple,1,1,True,299.5455265045166,True
31,Hiển thị quần short,SELECT * FROM products WHERE name LIKE '%quần short%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%quần short%' LIMIT 10;,simple,1,1,True,300.77195167541504,True
32,Xem áo polo,SELECT * FROM products WHERE name LIKE '%áo polo%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%áo polo%' LIMIT 10;,simple,1,1,True,301.8951416015625,True
33,Liệt kê tank top,SELECT name FROM products WHERE name LIKE '%tank top%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%tank top%' LIMIT 10;,simple,0,1,True,299.81088638305664,True
34,Tìm kiếm đầm,SELECT * FROM products WHERE name LIKE '%đầm%' LIMIT 10;,SELECT * FROM products WHERE name LIKE '%kiếm đầm%' LIMIT 10;,simple,0,0,True,306.90622329711914,True
